datetime,temperature_degC,probe_id
2022-12-20 23:06:52,38.44,TA
2022-12-20 23:06:52,37.63,TB
2022-12-20 23:06:52,35.38,TC
2022-12-20 23:11:53,34.00,TD
2022-12-20 23:11:53,38.50,TA
2022-12-20 23:11:53,37.63,TB
2022-12-20 23:11:53,35.38,TC
2022-12-20 23:16:54,34.00,TD
2022-12-20 23:16:54,38.50,TA
2022-12-20 23:16:54,37.63,TB
2022-12-20 23:16:54,35.38,TC
2022-12-20 23:21:55,34.00,TD
2022-12-20 23:21:55,38.44,TA
2022-12-20 23:21:55,37.69,TB
2022-12-20 23:21:55,35.38,TC
2022-12-20 23:26:56,34.00,TD
2022-12-20 23:26:56,38.56,TA
2022-12-20 23:26:56,37.75,TB
2022-12-20 23:26:56,35.31,TC
2022-12-20 23:31:57,33.94,TD
2022-12-20 23:31:57,38.50,TA
2022-12-20 23:31:57,37.69,TB
2022-12-20 23:31:57,35.38,TC
2022-12-20 23:36:58,34.00,TD
2022-12-20 23:36:58,38.50,TA
2022-12-20 23:36:58,37.69,TB
2022-12-20 23:36:58,35.38,TC
2022-12-20 23:41:59,34.00,TD
2022-12-20 23:41:59,38.56,TA
2022-12-20 23:41:59,37.69,TB
2022-12-20 23:41:59,35.44,TC
2022-12-20 23:47:00,34.06,TD
2022-12-20 23:47:00,38.56,TA
2022-12-20 23:47:00,37.69,TB
2022-12-20 23:47:00,35.38,TC
2022-12-20 23:52:00,34.00,TD
2022-12-20 23:52:01,38.50,TA
2022-12-20 23:52:01,37.69,TB
2022-12-20 23:52:01,35.38,TC
2022-12-20 23:57:01,34.00,TD
2022-12-20 23:57:02,38.56,TA
2022-12-20 23:57:02,37.69,TB
2022-12-20 23:57:02,35.38,TC
2022-12-21 00:02:02,34.06,TD
2022-12-21 00:02:03,38.50,TA
2022-12-21 00:02:03,37.69,TB
2022-12-21 00:02:03,35.38,TC
2022-12-21 00:07:03,34.06,TD
2022-12-21 00:07:04,38.56,TA
2022-12-21 00:07:04,37.75,TB
2022-12-21 00:07:04,35.38,TC
2022-12-21 00:12:04,34.06,TD
2022-12-21 00:12:05,38.56,TA
2022-12-21 00:12:05,37.75,TB
2022-12-21 00:12:05,35.44,TC
2022-12-21 00:17:05,34.00,TD
2022-12-21 00:17:06,38.56,TA
2022-12-21 00:17:06,37.69,TB
2022-12-21 00:17:06,35.44,TC
2022-12-21 00:22:06,34.00,TD
2022-12-21 00:22:07,38.63,TA
2022-12-21 00:22:07,37.81,TB
2022-12-21 00:22:07,35.44,TC
2022-12-21 00:27:07,34.06,TD
2022-12-21 00:27:07,38.56,TA
2022-12-21 00:27:08,37.75,TB
2022-12-21 00:27:08,35.38,TC
2022-12-21 00:32:08,34.06,TD
2022-12-21 00:32:08,38.56,TA
2022-12-21 00:32:09,37.69,TB
2022-12-21 00:32:09,35.44,TC
2022-12-21 00:37:09,34.06,TD
2022-12-21 00:37:09,38.56,TA
2022-12-21 00:37:10,37.75,TB
2022-12-21 00:37:10,35.50,TC
2022-12-21 00:42:10,34.00,TD
2022-12-21 00:42:10,38.63,TA
2022-12-21 00:42:11,37.75,TB
2022-12-21 00:42:11,35.50,TC
2022-12-21 00:47:11,34.06,TD
2022-12-21 00:47:11,38.63,TA
2022-12-21 00:47:12,37.75,TB
2022-12-21 00:47:12,35.38,TC
2022-12-21 00:52:12,34.06,TD
2022-12-21 00:52:12,38.69,TA
2022-12-21 00:52:13,37.75,TB
2022-12-21 00:52:13,35.44,TC
2022-12-21 00:57:13,34.06,TD
2022-12-21 00:57:13,38.69,TA
